index,tweets,text_characters,keywords,sentiment,categories
0,And no toilet paper,19,toilet paper,neutral,/business and industrial/paper industry
1,Watch Demolition Man,20,Watch Demolition Man,neutral,/art and entertainment/movies and tv/television
2,Prometheus Unbound,18,Prometheus Unbound,neutral,/style and fashion/underwear
3,: The Falcon booster supporting this mission previously launched astronauts Bob Behnken and Doug Hurley to the,110,Falcon booster,neutral,/automotive and vehicles/vehicle brands
4,Not bad,aff,aff,aff,aff
5,It was a beast compared to the VIC-20,37,beast,neutral,/pets/large animals
6,"Award accepted on behalf of the great people at Tesla, SpaceX, Neuralink &amp; Boring Co",88,behalf of the great people,neutral,/automotive and vehicles/cars/hybrid
7,"Much of what people think of an science is actually engineering, eg no such thing as a rocket scientist, only roc",113,such thing,positive,/science/engineering
8,"Science is discovering the essential truths about what exists in the Universe, engineering is about creating things",115,essential truths,positive,/science/engineering
9,It does get a bit cold at night,31,bit,neutral,/technology and computing/hardware
10,Paint makes a hell of a difference,34,Paint,negative,/style and fashion/body art
11,Congrats!,aff,aff,aff,aff
12,Thanks for everything you did to help build SpaceX! Some of the best memories ever.,83,best memories,positive,/art and entertainment/shows and events
13,It will be real soon,aff,aff,aff,aff
14,Starship legs are one of the hardest problems. External,55,Starship legs,negative,/pets/birds
15,"Static fire is not risky from build site, but we need to clear the build site for early flights",95,Static fire,negative,/business and industrial/construction
16,Just a static fire tomorrow. Flight no earlier than Wednesday.,62,static fire tomorrow,neutral,"/law, govt and politics/law enforcement/fire department"
17,It will have landing legs,25,legs,neutral,/pets/birds
18,"Yes, very sad news. Tony was great.",35,sad news,negative,/news/national news
19,"For a second there, I thought that was a pic of Thanos haha",59,pic of Thanos haha,positive,/art and entertainment/comics and animation/comics
20,"Yeah, truncate zeros &amp; then round",37,amp,neutral,/technology and computing/hardware/computer components/sound cards
21,Probably going to a wider beta in ~2 weeks,42,wider beta,neutral,/society/dating
22,fp16 with least important digits truncated (so it feels like fp32) is what were betting on for training with Dojo,113,important digits,positive,/sports/martial arts/karate
23,Int8 for almost all heavy lifting in inference works great,58,Int8,positive,/technology and computing/programming languages/c and c++
24,But actually!,aff,aff,aff,aff
25,,aff,aff,aff,aff
26,Happy Thanksgiving!,19,Happy Thanksgiving,positive,/society/social institution/divorce
27,Hopefully next month,20,next month,neutral,/travel/transports
28,Ok. Overall air suspension height &amp; damping algorithm is,60,Overall air suspension height,neutral,/automotive and vehicles/cars/sedan
29,Haha true,aff,aff,aff,aff
30,The Promise is greatly needed,29,Promise,positive,/society/unrest and war
31,"We will have special colors for new Roadster, as we did for the original",72,special colors,positive,/automotive and vehicles/cars/coupe
32,,aff,aff,aff,aff
33,. is savage,11,savage,neutral,/sports/wrestling
34,If you ever wondered where we came from,aff,aff,aff,aff
35,"This is a life leader launch, so more risk than normal",54,life leader launch,positive,/health and fitness
36,"Yes, but only slightly filled",aff,aff,aff,aff
37,This is a subject of much debate,32,subject of much debate,neutral,"/law, govt and politics/politics/foreign policy"
38,Major upgrades are slated for SN15,34,Major upgrades,neutral,/automotive and vehicles/cars/sedan
39,"Many small improvements, but overall similar. Wiring is more robust, engines are more mat",89,small improvements,neutral,/automotive and vehicles/cars/diesel
40,But thats why we have SN &amp; SN10,35,thats,neutral,/technology and computing/consumer electronics/camera and photo equipment/telescopes
41,"Lot of things need to go right, so maybe /3 chance",50,Lot of things,neutral,"/law, govt and politics"
42,Good Starship SN8 static fire! Aiming for first km / ~50k ft altitude flight next week. Goals are to test engin,111,Good Starship SN8,positive,/travel/transports/air travel/airplanes
43,Maybe start on that a year from now. Depends on how Starship progress goes.,75,Starship progress,neutral,/business and industrial/energy
44,Not yet,aff,aff,aff,aff
45,Not bad! We will definitely need more engines if we make the cargo bay all propel,81,cargo bay,positive,/automotive and vehicles/cars/diesel
46,"Rapid &amp; complete rocket reuse, low cost propellant, orbital refilling &amp; propellant production at d",106,complete rocket reuse,neutral,/automotive and vehicles/vehicle brands
47,Yes,aff,aff,aff,aff
48,"Were still far from simply video in, control out. The biggest game-changer, cu",78,biggest game-changer,positive,/technology and computing/software/graphics software
49,FSD Beta coming out in a few days. Improvement should be significant.,69,FSD Beta,neutral,/education/homework and study tips
50,Exciting mission!,17,mission,positive,"/law, govt and politics/armed forces/air force"
51,Wow,aff,aff,aff,aff
52,Yea,aff,aff,aff,aff
53,"Tomorrow will be the th flight of this rocket, landing on droneship Of Course I Still Love You",94,th flight of this rocket,positive,/automotive and vehicles/vehicle brands
54,Sure,aff,aff,aff,aff
55,True,aff,aff,aff,aff
56,We have quiet a queue of products to build! Better do new Roadster at some point.,81,queue of products,positive,/business and industrial/metals
57,"Fate loves irony, but hates hypocrisy",37,Fate,negative,/hobbies and interests/magic and illusion
58,": Booster separation, second-engine start, and fairing separation as the U.S.-European Sentinel-6 Michael Freilich ocean-observing",130,Booster separation,neutral,/automotive and vehicles/motorcycles
59,Yes,aff,aff,aff,aff
60,Our data center was named Skynet as a joke over years ago. Might have been tempting fate!,89,data center,neutral,/technology and computing/data centers
61,Tesla is a vehicle for creating &amp; producing many useful products,68,Tesla,positive,/automotive and vehicles/vehicle brands
62,Largest cast titanium part in the world. No heat shielding needed.,66,Largest cast titanium part,positive,/business and industrial/energy
63,Landing at Vandenberg AFB in California,39,Vandenberg AFB,neutral,"/law, govt and politics/armed forces/air force"
64,"Actually, off to the side (so it doesnt take out the launch",59,side,negative,/art and entertainment/shows and events
65,Where it should be!,aff,aff,aff,aff
66,"Because I am not an investor. Tesla is definitely not the only good company, but investing is n",95,only good company,negative,/finance/investing
67,"Well, almost anything",aff,aff,aff,aff
68,Quite the day ahead,19,day,neutral,/automotive and vehicles/cars/car culture
69,: Crew-1s view of Earth during Dragons flight to the,52,Crew-1s view of Earth,neutral,/travel/transports/sea travel
70,Now *this* is what youd call pointy!,aff,aff,aff,aff
71,Cool,aff,aff,aff,aff
72,"Theyre moving at ~25 times the speed of sound, but it feels like nothing",72,speed of sound,negative,/art and entertainment/shows and events
73,,aff,aff,aff,aff
74,There will always be upgrades,29,upgrades,neutral,/automotive and vehicles/cars/sedan
75,It will be better than human vision by quite a margin,53,human vision,positive,"/law, govt and politics/politics/elections/presidential elections"
76,Reality looks like a strange ghost-world at radar wavelengths.,62,strange ghost-world,neutral,/science/physics/optics
77,Exactly,aff,aff,aff,aff
78,This is a misperception. SpaceX developed &amp; continues to use lidar for Dragon docking with,94,SpaceX,neutral,/automotive and vehicles/vehicle brands
79,One day we will fly you on Starship,35,day,positive,/sports/fishing/fly fishing
80,Well done!,aff,aff,aff,aff
81,"I cant comment on turbopump internal details, but youre roughly in the ballpark. Wow, roc",89,internal details,negative,/sports/baseball
82,"To be clear, this was just an XPeng problem. Other companies in China have not done this.",89,XPeng problem,negative,/business and industrial/company
83,"Andrej is awesome, but it should be said that we have a very talented Autopilot",79,Andrej,positive,/sports/wrestling
84,Yeah. They stole Apples code too.,33,Apples code,negative,/technology and computing/programming languages/c and c++
85,They have an old version of our software &amp; dont have our NN inference computer,82,old version of our software,neutral,/technology and computing/software
86,Wild times!,aff,aff,aff,aff
87,Congrats!,aff,aff,aff,aff
88,.,aff,aff,aff,aff
